$Date,$Time,Pc_OIT_24Real[000],Pc_OIT_24Real[004],DeltaTPid.Pid_SP,Pc_OIT_24Real[001]Pid.Pid_SP,Pc_OIT_24Real[001],FT1501.Value
07/01/16,12:52:00,1.277712,77.94164,15.7235,220,221.4767,3036.078
07/01/16,12:53:00,1.342127,77.86613,16.66085,220,221.775,3011.942
07/01/16,12:54:00,1.278835,77.80083,16.58175,220,222.655,3000.398
07/01/16,12:55:00,1.284836,77.9079,16.58203,220,222.3567,3033.863
07/01/16,12:56:00,1.255763,77.97471,17.42877,220,221.0292,3015.323
07/01/16,12:57:00,1.297822,78.18909,16.6177,220,222.0733,3008.444
07/01/16,12:58:00,1.305148,78.28481,17.1576,220,222.2075,3014.274
07/01/16,12:59:00,1.275827,78.36216,17.80204,220,223.4008,3031.531
07/01/16,13:00:00,1.337057,78.30202,17.24243,220,222.9533,3009.61
07/01/16,13:01:00,1.290671,78.22021,16.42422,220,222.3567,3037.244
07/01/16,13:02:00,1.304707,78.16325,17.13168,220,222.8041,3038.41
07/01/16,13:03:00,1.273135,78.11792,16.94942,220,222.0733,3010.776
07/01/16,13:04:00,1.265785,78.228,16.40636,220,223.1025,3032.697
07/01/16,13:05:00,1.318805,78.23632,16.9743,220,222.0733,3025.7
07/01/16,13:06:00,1.233385,78.26777,17.3934,220,221.6258,3026.866
07/01/16,13:07:00,1.288031,78.4024,16.87204,220,222.5058,3041.908
07/01/16,13:08:00,1.272673,78.33178,17.1719,220,221.3275,3038.41
07/01/16,13:09:00,1.265273,78.27204,18.06289,220,221.1783,3041.908
07/01/16,13:10:00,1.291994,78.41027,17.82017,220,221.1783,3016.489
07/01/16,13:11:00,1.326525,78.3476,16.83061,220,220.2983,3015.323
07/01/16,13:12:00,1.360612,78.13699,16.4693,220,220.5966,3029.199
07/01/16,13:13:00,1.315057,77.91075,16.73791,220,220.1492,3029.199
07/01/16,13:14:00,1.265254,77.84686,16.59463,220,219.7017,3028.033
07/01/16,13:15:00,1.277638,78.04116,17.468,220,218.8217,3018.821
07/01/16,13:16:00,1.303764,78.26023,17.12013,220,218.6725,3021.153
07/01/16,13:17:00,1.287008,78.26385,17.14853,220,219.8508,3018.821
07/01/16,13:18:00,1.32258,78.27477,17.9357,220,218.2399,3011.942
07/01/16,13:19:00,1.366114,78.16635,16.90644,220,218.0908,3024.534
07/01/16,13:20:00,1.329892,77.93141,16.32533,220,217.9416,3030.365
07/01/16,13:21:00,1.255701,77.67008,17.47789,220,217.7925,3026.866
07/01/16,13:22:00,1.304437,100,16.86032,220,216.9124,3017.655
07/01/16,13:23:00,1.277778,100,7.995663,220,214.2574,3032.697
07/01/16,13:24:00,1.182213,100,0,220,212.0499,3032.697
07/01/16,13:25:00,1.940757,77,0,220,209.8275,3030.365
07/01/16,13:26:00,2.892327,77,0,220,207.1874,3037.244
07/01/16,13:27:00,2.902336,77,0,220,204.6816,3025.7
07/01/16,13:28:00,2.902336,77,0,220,203.5032,3049.954
